client_id,error
555,0
647,0
934,0
1336,0
1346,1
1516,1
1643,1
1702,0
1755,0
1836,1
1936,1
2720,0
3232,0
3572,0
4369,0
4484,0
4603,0
4717,1
4870,0
5845,0
6022,1
6150,0
6904,0
7561,1
7563,0
7657,1
7723,0
7934,1
8023,0
8055,0
8610,0
8712,1
8820,0
9751,1
9916,0
10363,0
11040,0
11309,0
11880,1
12785,0
13735,0
14690,1
15050,1
15189,0
15753,1
15807,1
16098,0
16295,1
16881,0
17170,0
17318,1
17404,0
18549,0
19060,1
20185,1
20564,1
20643,0
20668,0
21200,1
21281,1
21403,0
21522,1
21596,1
22007,0
22793,0
23914,0
24443,1
24572,1
24703,0
24841,0
25022,0
25026,0
26036,0
26070,0
26105,0
26696,0
27075,0
27764,1
27907,0
28241,0
28371,0
29227,0
29527,0
30318,1
30462,0
30493,1
31336,1
31404,0
31499,1
31597,1
31766,1
32471,1
32521,0
32746,1
33265,0
33472,0
33752,0
34101,0
34608,0
35010,1
35091,1
35138,0
35181,0
35476,1
35922,0
36342,0
36363,0
36430,1
36432,1
36555,1
36986,1
37423,1
37667,0
37691,1
37705,0
37897,0
38275,0
38283,1
38340,0
38551,0
38775,0
39004,0
39566,0
40283,0
40439,0
40969,1
41122,0
41142,0
41199,0
41237,0
41924,1
42349,0
42725,0
43645,0
44705,1
44932,0
44995,0
45131,0
45232,0
45485,1
45510,1
46790,1
46934,0
47860,1
48448,0
48724,1
49709,1
49998,0
50053,0
50090,0
50325,0
50599,0
51493,0
51526,1
52309,1
52743,1
53396,0
54231,0
54893,0
55059,0
55265,1
55333,0
55951,0
56294,1
56570,1
56923,1
58194,1
58867,0
58962,0
59152,0
59360,0
59802,1
60101,0
60483,0
60802,1
60958,0
61007,0
61487,0
61650,0
61961,1
62284,0
62754,0
62791,0
62805,0
63507,0
63796,1
63879,1
63955,0
64058,0
64635,0
64885,0
65221,0
66160,0
66539,0
66930,1
67390,1
67452,0
67845,0
67925,0
68276,0
68884,1
68886,0
69568,0
69591,0
70576,1
70863,0
71159,0
72074,1
72388,0
72395,1
72915,0
72916,0
72988,0
73615,0
73648,0
74564,1
74844,1
74976,1
75033,0
75490,0
76429,1
76481,1
76635,1
76775,0
77276,0
77513,1
77651,0
77933,0
78720,0
78779,0
79452,0
79669,1
79897,1
80006,0
80126,0
80275,1
80479,0
80801,1
81119,1
81303,0
81720,0
82206,0
82560,0
82772,0
83507,0
83585,0
83795,1
84464,0
84596,0
84658,0
84976,0
86035,0
86780,1
86877,1
87424,0
87449,0
87915,1
88986,0
89039,0
89257,0
89604,0
89693,0
89812,0
89959,1
90324,0
90360,0
90383,0
91110,1
91254,0
91443,0
91633,1
92066,1
92137,0
92665,0
92864,0
93137,0
93370,0
93480,0
93610,1
93751,1
93870,1
93915,1
94234,0
94552,1
94662,1
94767,0
94914,0
95035,0
95199,0
95453,1
96190,0
96787,1
97147,1
97424,0
97590,0
98248,1
98337,0
99208,0
100118,0
100250,0
100940,1
101220,0
102884,0
103622,1
103627,0
103669,0
104190,1
104643,0
104972,0
106102,0
106137,1
106501,0
108419,0
108892,0
109662,1
110028,0
110212,1
110288,0
110772,1
111162,1
112766,1
113597,1
113852,0
